Blacksmith P 0 Shape1 Molten Steel into Standard Gem Socket using Anvil with a Hammer.
Blacksmith P 100 Shape 3 Molten Steel into Perfect Gem Socket using Anvil with a Hammer.
Blacksmith P 50 Shape 2 Molten Steel into Superior Gem Socket using Anvil with a Hammer.
Blades Making I 200 Combine Battle Axe Blade, Wooden Axe Handle, into 0 Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Broadsword Blade, Broadsword Handle, into 0 Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Broadsword Handle, Platinum Steel Broadsword Blade, into 0 Platinum Steel Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Claymore Blade, Sword Handle, into 0 Claymore Kit using Smith Table (combine).
Blades Making I 200 Combine Compound Bow Staff, Steel String, into 0 Compound Bow Kit using Smith Table (combine).
Blades Making I 200 Combine Dagger Blade, Leather Knife Handle, into 0 Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Knife Blade, Leather Knife Handle, into 0 Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Leather Knife Handle, Platinum Steel Dagger Blade, into 0 Platinum Steel Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Leather Knife Handle, Platinum Steel Knife Blade, into 0 Platinum Steel Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Longsword Blade, Sword Handle, into 0 Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Battle Axe Kit, into 1 Perfect Enchanted Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Battle Hammer Assembly, into 1 Perfect Enchanted Battle Hammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Battle Pick Assembly, into 1 Perfect Enchanted Battle Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Broadsword Kit, into 1 Perfect Enchanted Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Claymore Kit, into 1 Perfect Enchanted Claymore Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Club Assembly, into 1 Perfect Enchanted Club Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Compound Bow Kit, into 1 Perfect Enchanted Compound Bow Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Dagger Kit, into 1 Perfect Enchanted Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Flail Mace Assembly, into 1 Perfect Enchanted Flail Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Flanged Mace Assembly, into 1 Perfect Enchanted Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Knife Kit, into 1 Perfect Enchanted Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Longsword Kit, into 1 Perfect Enchanted Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Mace Assembly, into 1 Perfect Enchanted Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Morning Star Assembly, into 1 Perfect Enchanted Morning Star Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Battle Axe Kit, into 1 Perfect Enchanted Platinum Steel Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Battle Hammer Assembly, into 1 Perfect Enchanted Platinum Steel Battle Hammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Battle Pick Assembly, into 1 Perfect Enchanted Platinum Steel Battle Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Broadsword Kit, into 1 Perfect Enchanted Platinum Steel Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Claymore Kit, into 1 Perfect Enchanted Platinum Steel Claymore Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Dagger Kit, into 1 Perfect Enchanted Platinum Steel Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Falchion Kit, into 1 Perfect Enchanted Platinum Steel Falchion Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Flanged Mace Assembly, into 1 Perfect Enchanted Platinum Steel Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Knife Kit, into 1 Perfect Enchanted Platinum Steel Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Longsword Kit, into 1 Perfect Enchanted Platinum Steel Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Mace Assembly, into 1 Perfect Enchanted Platinum Steel Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Morning Star Assembly, into 1 Perfect Enchanted Platinum Steel Morning Star Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Reinforced Axe Kit, into 1 Perfect Enchanted Platinum Steel Reinforced Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Reinforced Battle Axe Kit, into 1 Perfect Enchanted Platinum Steel Reinforced Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Sabre Kit, into 1 Perfect Enchanted Platinum Steel Sabre Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Shortsword Kit, into 1 Perfect Enchanted Platinum Steel Shortsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Small Battle Axe Kit, into 1 Perfect Enchanted Platinum Steel Small Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Spiked Warhammer Assembly, into 1 Perfect Enchanted Platinum Steel Spiked Warhammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel War Flanged Mace Assembly, into 1 Perfect Enchanted Platinum Steel War Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel Warhammer Assembly, into 1 Perfect Enchanted Platinum Steel Warhammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Platinum Steel War Pick Assembly, into 1 Perfect Enchanted Platinum Steel War Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Reinforced Axe Kit, into 1 Perfect Enchanted Reinforced Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Reinforced Battle Axe Kit, into 1 Perfect Enchanted Reinforced Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Sabre Kit, into 1 Perfect Enchanted Sabre Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Shortsword Kit, into 1 Perfect Enchanted Shortsword Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Small Battle Axe Kit, into 1 Perfect Enchanted Small Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Spiked Warhammer Assembly, into 1 Perfect Enchanted Spiked Warhammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Steel Falchion Kit, into 1 Perfect Enchanted Steel Falchion Kit using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Unbalanced Stonehammer Longbow, into 1 Perfect Enchanted Unbalanced Stonehammer Longbow using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Unbalanced Stonehammer Shortbow, into 1 Perfect Enchanted Unbalanced Stonehammer Shortbow using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Unbalanced Ynnwn Longbow, into 1 Perfect Enchanted Unbalanced Ynnwn Longbow using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Unbalanced Ynnwn Shortbow, into 1 Perfect Enchanted Unbalanced Ynnwn Shortbow using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, War Club Assembly, into 1 Perfect Enchanted War Club Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, War Flanged Mace Assembly, into 1 Perfect Enchanted War Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, Warhammer Assembly, into 1 Perfect Enchanted Warhammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Perfect Gem Socket, War Pick Assembly, into 1 Perfect Enchanted War Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Platinum Steel Longsword Blade, Sword Handle, into 0 Platinum Steel Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Reinforced Axe Blade, Wooden Axe Handle, into 0 Reinforced Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Reinforced Battle Axe Blade, Wooden Axe Handle, into 0 Reinforced Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Sabre Blade, Sword Handle, into 0 Sabre Kit using Smith Table (combine).
Blades Making I 200 Combine Shortsword Blade, Sword Handle, into 0 Shortsword Kit using Smith Table (combine).
Blades Making I 200 Combine Small Battle Axe Blade, Small Wooden Axe Handle, into 0 Small Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Small Wooden Axe Handle, Platinum Steel Small Battle Axe Blade, into 0 Platinum Steel Small Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Small Wooden Axe Handle Shape, 2 Leather String, into 0 Small Wooden Axe Handle using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Battle Axe Kit, into 1 Enchanted Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Battle Hammer Assembly, into 1 Enchanted Battle Hammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Battle Pick Assembly, into 1 Enchanted Battle Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Broadsword Kit, into 1 Enchanted Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Claymore Kit, into 1 Enchanted Claymore Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Club Assembly, into 1 Enchanted Club Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Compound Bow Kit, into 1 Enchanted Compound Bow Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Dagger Kit, into 1 Enchanted Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Flail Mace Assembly, into 1 Enchanted Flail Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Flanged Mace Assembly, into 1 Enchanted Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Knife Kit, into 1 Enchanted Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Longsword Kit, into 1 Enchanted Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Mace Assembly, into 1 Enchanted Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Morning Star Assembly, into 1 Enchanted Morning Star Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Battle Axe Kit, into 1 Enchanted Platinum Steel Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Battle Hammer Assembly, into 1 Enchanted Platinum Steel Battle Hammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Battle Pick Assembly, into 1 Enchanted Platinum Steel Battle Pick Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Broadsword Kit, into 1 Enchanted Platinum Steel Broadsword Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Claymore Kit, into 1 Enchanted Platinum Steel Claymore Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Dagger Kit, into 1 Enchanted Platinum Steel Dagger Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Falchion Kit, into 1 Enchanted Platinum Steel Falchion Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Flanged Mace Assembly, into 1 Enchanted Platinum Steel Flanged Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Knife Kit, into 1 Enchanted Platinum Steel Knife Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Longsword Kit, into 1 Enchanted Platinum Steel Longsword Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Mace Assembly, into 1 Enchanted Platinum Steel Mace Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Morning Star Assembly, into 1 Enchanted Platinum Steel Morning Star Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Reinforced Axe Kit, into 1 Enchanted Platinum Steel Reinforced Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Reinforced Battle Axe Kit, into 1 Enchanted Platinum Steel Reinforced Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Sabre Kit, into 1 Enchanted Platinum Steel Sabre Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Shortsword Kit, into 1 Enchanted Platinum Steel Shortsword Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Small Battle Axe Kit, into 1 Enchanted Platinum Steel Small Battle Axe Kit using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel Spiked Warhammer Assembly, into 1 Enchanted Platinum Steel Spiked Warhammer Assembly using Smith Table (combine).
Blades Making I 200 Combine Standard Gem Socket, Platinum Steel War Flanged Mace Assembly, into 1 Enchanted Platinum Steel War Flanged Mace Assembly using Smith Table (combine).
